Datum/ Uhrzeit,Außenluft-temperatur [°C],ge. Wärme-lastgang [kW],Trink-WW-Lastgang [kW],Strom-lastgang [kW],,Eingabe,,
1/1/2022 0:00,4.843,186.62,25.18,17.66,,,,
1/1/2022 1:00,4.798,233.55,31.23,18.01,,,,
1/1/2022 2:00,4.758,242.90,32.16,17.84,,Wärmebedarf,"1,500,000",kWh/a
1/1/2022 3:00,4.724,266.95,35.00,17.14,,,,
1/1/2022 4:00,4.658,294.58,38.21,16.96,,,,
1/1/2022 5:00,4.576,360.25,46.22,18.71,,,,
1/1/2022 6:00,4.505,416.95,52.91,20.11,,,,
1/1/2022 7:00,4.498,434.01,54.46,19.59,,Strombedarf,700000,kWh/a
1/1/2022 8:00,4.515,428.72,53.18,20.64,,,,
1/1/2022 9:00,4.683,415.02,50.88,21.16,,,,
1/1/2022 10:00,4.989,400.06,48.52,20.99,,,,
1/1/2022 11:00,5.323,380.52,45.73,22.04,,,,
1/1/2022 12:00,5.597,362.15,43.18,21.86,,,,
1/1/2022 13:00,5.714,345.88,40.95,20.29,,,,
1/1/2022 14:00,5.546,342.84,40.30,20.64,,,,
1/1/2022 15:00,5.066,342.22,39.93,22.04,,,,
1/1/2022 16:00,4.485,355.30,41.09,22.39,,,,
1/1/2022 17:00,4.087,375.43,42.93,22.39,,,,
1/1/2022 18:00,3.76,374.62,42.33,24.31,,,,
1/1/2022 19:00,3.45,369.18,41.18,23.43,,,,
1/1/2022 20:00,3.141,354.56,39.02,22.39,,,,
1/1/2022 21:00,2.885,339.54,36.86,20.64,,,,
1/1/2022 22:00,2.637,298.99,32.02,19.59,,,,
1/1/2022 23:00,2.402,272.30,28.78,19.06,,,,
1/2/2022 0:00,2.178,271.47,28.35,18.19,,,,
1/2/2022 1:00,1.924,287.70,29.72,18.19,,,,
1/2/2022 2:00,1.703,296.58,30.33,18.71,,,,
1/2/2022 3:00,1.472,318.11,32.24,17.84,,,,
1/2/2022 4:00,1.242,347.78,34.96,17.14,,,,
1/2/2022 5:00,1.064,419.41,41.86,19.24,,,,
1/2/2022 6:00,0.902,482.75,47.86,23.78,,,,
1/2/2022 7:00,0.722,505.74,49.84,144.28,,,,
1/2/2022 8:00,0.59,494.72,48.50,306.58,,,,
1/2/2022 9:00,0.992,472.58,46.12,339.63,,,,
1/2/2022 10:00,1.803,447.59,43.52,334.38,,,,
1/2/2022 11:00,2.592,420.70,40.78,325.64,,,,
1/2/2022 12:00,3.08,401.09,38.78,285.42,,,,
1/2/2022 13:00,3.144,389.67,37.58,219.13,,,,
1/2/2022 14:00,2.787,382.77,36.84,222.98,,,,
1/2/2022 15:00,1.794,384.94,36.97,236.27,,,,
1/2/2022 16:00,0.221,387.96,37.20,187.65,,,,
1/2/2022 17:00,-0.605,382.77,36.67,113.33,,,,
1/2/2022 18:00,-1.316,374.81,35.91,63.48,,,,
1/2/2022 19:00,-2.05,370.43,35.52,38.65,,,,
1/2/2022 20:00,-2.67,353.42,33.94,27.81,,,,
1/2/2022 21:00,-3.063,326.56,31.43,24.13,,,,
1/2/2022 22:00,-3.22,295.32,28.50,20.64,,,,
1/2/2022 23:00,-3.188,273.11,26.43,18.89,,,,
1/3/2022 0:00,-3.066,267.93,26.00,18.19,,,,
1/3/2022 1:00,-2.948,278.56,27.11,18.19,,,,
1/3/2022 2:00,-2.834,283.81,27.69,18.71,,,,
1/3/2022 3:00,-2.709,301.20,29.47,17.84,,,,
1/3/2022 4:00,-2.589,314.04,30.80,17.14,,,,
1/3/2022 5:00,-2.493,390.84,38.42,19.24,,,,
1/3/2022 6:00,-2.385,450.55,44.39,23.78,,,,
1/3/2022 7:00,-2.219,470.11,46.43,144.28,,,,
1/3/2022 8:00,-2.022,474.83,47.02,306.58,,,,
1/3/2022 9:00,-1.088,441.08,43.79,339.63,,,,
1/3/2022 10:00,0.021,413.47,41.14,334.38,,,,
1/3/2022 11:00,1.001,388.56,38.70,325.64,,,,
1/3/2022 12:00,1.621,368.83,36.75,285.42,,,,
1/3/2022 13:00,1.853,356.71,35.54,219.13,,,,
1/3/2022 14:00,1.634,348.75,34.76,222.98,,,,
1/3/2022 15:00,0.726,349.00,34.81,236.27,,,,
1/3/2022 16:00,-0.325,349.97,34.98,187.65,,,,
1/3/2022 17:00,-0.582,345.15,34.62,113.33,,,,
1/3/2022 18:00,-0.788,334.68,33.70,63.48,,,,
1/3/2022 19:00,-1.075,329.11,33.29,38.65,,,,
1/3/2022 20:00,-1.373,312.44,31.76,27.81,,,,
1/3/2022 21:00,-1.521,287.29,29.37,24.13,,,,
1/3/2022 22:00,-1.524,258.58,26.61,20.64,,,,
1/3/2022 23:00,-1.476,238.05,24.66,18.89,,,,
1/4/2022 0:00,-1.461,237.11,24.73,18.19,,,,
1/4/2022 1:00,-1.411,245.52,25.80,18.19,,,,
1/4/2022 2:00,-1.39,249.23,26.39,18.71,,,,
1/4/2022 3:00,-1.339,263.64,28.13,17.84,,,,
1/4/2022 4:00,-1.275,274.11,29.49,17.14,,,,
1/4/2022 5:00,-1.181,340.38,36.92,19.24,,,,
1/4/2022 6:00,-1.03,391.71,42.85,23.78,,,,
1/4/2022 7:00,-0.834,408.26,45.04,144.28,,,,
1/4/2022 8:00,-0.56,412.17,45.85,306.58,,,,
1/4/2022 9:00,0.027,382.94,42.95,339.63,,,,
1/4/2022 10:00,0.608,360.76,40.78,334.38,,,,
1/4/2022 11:00,1.169,338.16,38.51,325.64,,,,
1/4/2022 12:00,1.679,321.70,36.91,285.42,,,,
1/4/2022 13:00,1.996,312.04,36.05,219.13,,,,
1/4/2022 14:00,2.02,306.17,35.61,222.98,,,,
1/4/2022 15:00,1.824,307.71,36.04,236.27,,,,
1/4/2022 16:00,1.548,310.08,36.56,187.65,,,,
1/4/2022 17:00,1.486,306.06,36.32,113.33,,,,
1/4/2022 18:00,1.491,298.57,35.67,63.48,,,,
1/4/2022 19:00,1.51,291.93,35.10,38.65,,,,
1/4/2022 20:00,1.535,288.32,34.87,27.81,,,,
1/4/2022 21:00,1.583,269.65,32.79,24.13,,,,
1/4/2022 22:00,1.696,236.59,28.92,20.64,,,,
1/4/2022 23:00,1.852,215.87,26.51,18.89,,,,
1/5/2022 0:00,1.985,210.58,25.96,18.19,,,,
1/5/2022 1:00,2.082,222.38,27.49,18.19,,,,
1/5/2022 2:00,2.161,230.70,28.59,18.71,,,,
1/5/2022 3:00,2.234,241.26,29.94,17.84,,,,
1/5/2022 4:00,2.298,263.40,32.72,17.14,,,,
1/5/2022 5:00,2.381,320.22,39.79,19.24,,,,
1/5/2022 6:00,2.465,386.05,47.95,23.78,,,,
1/5/2022 7:00,2.561,406.68,50.46,144.28,,,,
1/5/2022 8:00,2.758,396.96,49.16,306.58,,,,
1/5/2022 9:00,3.1,379.17,46.83,339.63,,,,
1/5/2022 10:00,3.541,361.99,44.60,334.38,,,,
1/5/2022 11:00,3.979,341.76,42.01,325.64,,,,
1/5/2022 12:00,4.332,324.33,39.79,285.42,,,,
1/5/2022 13:00,4.533,314.88,38.55,219.13,,,,
1/5/2022 14:00,4.531,309.78,37.84,222.98,,,,
1/5/2022 15:00,4.254,312.01,38.03,236.27,,,,
1/5/2022 16:00,3.944,315.71,38.38,187.65,,,,
1/5/2022 17:00,3.825,313.43,37.97,113.33,,,,
1/5/2022 18:00,3.717,309.61,37.37,63.48,,,,
1/5/2022 19:00,3.571,305.72,36.75,38.65,,,,
1/5/2022 20:00,3.464,298.77,35.78,27.81,,,,
1/5/2022 21:00,3.361,282.01,33.64,24.13,,,,
1/5/2022 22:00,3.239,248.65,29.54,20.64,,,,
1/5/2022 23:00,3.095,222.65,26.36,18.89,,,,
1/6/2022 0:00,2.957,221.05,26.08,17.66,,,,
1/6/2022 1:00,2.815,215.63,25.36,18.01,,,,
1/6/2022 2:00,2.679,226.03,26.50,17.84,,,,
1/6/2022 3:00,2.544,240.53,28.12,17.14,,,,
1/6/2022 4:00,2.404,262.54,30.62,16.96,,,,
1/6/2022 5:00,2.253,318.99,37.11,18.71,,,,
1/6/2022 6:00,2.102,384.22,44.60,19.94,,,,
1/6/2022 7:00,1.938,381.00,44.14,20.81,,,,
1/6/2022 8:00,1.891,369.41,42.73,27.98,,,,
1/6/2022 9:00,2.298,345.39,39.88,36.20,,,,
1/6/2022 10:00,2.769,330.26,38.09,40.75,,,,
1/6/2022 11:00,3.25,319.19,36.79,38.82,,,,
1/6/2022 12:00,3.637,293.11,33.77,34.80,,,,
1/6/2022 13:00,3.822,274.60,31.63,27.98,,,,
1/6/2022 14:00,3.782,269.04,30.98,23.78,,,,
1/6/2022 15:00,3.326,270.23,31.12,23.78,,,,
1/6/2022 16:00,2.73,278.12,32.05,22.91,,,,
1/6/2022 17:00,2.536,283.93,32.72,23.26,,,,
1/6/2022 18:00,2.373,281.63,32.47,23.78,,,,
1/6/2022 19:00,2.193,271.98,31.38,23.78,,,,
1/6/2022 20:00,2.071,263.06,30.40,22.39,,,,
1/6/2022 21:00,1.977,261.48,30.27,19.24,,,,
1/6/2022 22:00,1.919,230.23,26.71,19.24,,,,
1/6/2022 23:00,1.887,207.77,24.17,19.06,,,,
1/7/2022 0:00,1.818,220.27,25.70,17.66,,,,
1/7/2022 1:00,1.731,226.97,26.57,18.01,,,,
1/7/2022 2:00,1.643,223.04,26.21,17.84,,,,
1/7/2022 3:00,1.564,253.06,29.86,17.14,,,,
1/7/2022 4:00,1.505,306.23,36.29,16.96,,,,
1/7/2022 5:00,1.444,363.28,43.24,18.71,,,,
1/7/2022 6:00,1.381,321.82,38.49,20.11,,,,
1/7/2022 7:00,1.296,317.57,38.18,19.59,,,,
1/7/2022 8:00,1.294,312.81,37.83,20.64,,,,
1/7/2022 9:00,1.846,297.67,36.23,21.16,,,,
1/7/2022 10:00,2.494,284.01,34.78,20.99,,,,
1/7/2022 11:00,3.095,280.42,34.51,22.04,,,,
1/7/2022 12:00,3.551,266.37,32.90,21.86,,,,
1/7/2022 13:00,3.798,259.68,32.17,20.29,,,,
1/7/2022 14:00,3.815,267.06,33.16,20.64,,,,
1/7/2022 15:00,3.467,273.90,34.08,22.04,,,,
1/7/2022 16:00,2.79,270.84,33.77,22.39,,,,
1/7/2022 17:00,2.687,290.07,36.28,22.39,,,,
1/7/2022 18:00,2.722,294.71,36.94,24.31,,,,
1/7/2022 19:00,2.743,290.01,36.41,23.43,,,,
1/7/2022 20:00,2.744,291.51,36.63,22.39,,,,
1/7/2022 21:00,2.792,284.88,35.80,20.64,,,,
1/7/2022 22:00,2.897,251.33,31.57,19.59,,,,
1/7/2022 23:00,3.011,242.45,30.41,19.06,,,,
1/8/2022 0:00,3.08,227.41,28.45,18.19,,,,
1/8/2022 1:00,3.112,238.07,29.69,18.19,,,,
1/8/2022 2:00,3.098,246.60,30.65,18.71,,,,
1/8/2022 3:00,3.065,269.99,33.44,17.84,,,,
1/8/2022 4:00,3.081,296.87,36.62,17.14,,,,
1/8/2022 5:00,3.128,361.85,44.43,19.24,,,,
1/8/2022 6:00,3.208,417.54,51.00,23.78,,,,
1/8/2022 7:00,3.352,433.43,52.63,144.28,,,,
1/8/2022 8:00,3.559,427.07,51.51,306.58,,,,
1/8/2022 9:00,3.884,412.48,49.36,339.63,,,,
1/8/2022 10:00,4.15,396.80,47.10,334.38,,,,
1/8/2022 11:00,4.363,376.70,44.37,325.64,,,,
1/8/2022 12:00,4.524,358.70,41.96,285.42,,,,
1/8/2022 13:00,4.574,355.36,41.29,219.13,,,,
1/8/2022 14:00,4.491,351.89,40.62,222.98,,,,
1/8/2022 15:00,4.159,355.89,40.79,236.27,,,,
1/8/2022 16:00,3.752,359.00,40.85,187.65,,,,
1/8/2022 17:00,3.459,368.05,41.56,113.33,,,,
1/8/2022 18:00,3.215,366.82,41.09,63.48,,,,
1/8/2022 19:00,3,361.18,40.15,38.65,,,,
1/8/2022 20:00,2.793,346.71,38.25,27.81,,,,
1/8/2022 21:00,2.607,332.01,36.35,24.13,,,,
1/8/2022 22:00,2.418,292.49,31.78,20.64,,,,
1/8/2022 23:00,2.224,266.62,28.74,18.89,,,,
1/9/2022 0:00,2.086,266.15,28.47,18.19,,,,
1/9/2022 1:00,1.987,282.55,29.98,18.19,,,,
1/9/2022 2:00,1.869,291.84,30.71,18.71,,,,
1/9/2022 3:00,1.727,313.71,32.74,17.84,,,,
1/9/2022 4:00,1.566,343.77,35.59,17.14,,,,
1/9/2022 5:00,1.377,415.59,42.71,19.24,,,,
1/9/2022 6:00,1.188,479.58,48.94,23.78,,,,
1/9/2022 7:00,0.994,503.73,51.07,144.28,,,,
1/9/2022 8:00,0.822,494.09,49.79,306.58,,,,
1/9/2022 9:00,0.995,473.26,47.43,339.63,,,,
1/9/2022 10:00,1.412,449.45,44.84,334.38,,,,
1/9/2022 11:00,1.824,423.61,42.10,325.64,,,,
1/9/2022 12:00,2.064,404.94,40.11,285.42,,,,
1/9/2022 13:00,2.065,394.43,38.96,219.13,,,,
1/9/2022 14:00,1.843,388.43,38.26,222.98,,,,
1/9/2022 15:00,1.358,391.58,38.48,236.27,,,,
1/9/2022 16:00,0.731,395.59,38.76,187.65,,,,
1/9/2022 17:00,0.351,391.18,38.19,113.33,,,,
1/9/2022 18:00,0.082,381.99,37.15,63.48,,,,
1/9/2022 19:00,-0.145,373.57,36.21,38.65,,,,
1/9/2022 20:00,-0.369,363.16,35.08,27.81,,,,
1/9/2022 21:00,-0.626,335.98,32.34,24.13,,,,
1/9/2022 22:00,-0.921,304.11,29.18,20.64,,,,
1/9/2022 23:00,-1.224,281.40,26.94,18.89,,,,
1/10/2022 0:00,-1.541,276.14,26.38,18.19,,,,
1/10/2022 1:00,-1.809,287.07,27.38,18.19,,,,
1/10/2022 2:00,-1.973,292.39,27.86,18.71,,,,
1/10/2022 3:00,-2.054,310.13,29.53,17.84,,,,
1/10/2022 4:00,-2.072,323.10,30.75,17.14,,,,
1/10/2022 5:00,-2.064,401.74,38.23,19.24,,,,
1/10/2022 6:00,-2.108,462.58,44.02,23.78,,,,
1/10/2022 7:00,-2.141,482.05,45.89,144.28,,,,
1/10/2022 8:00,-2.073,486.20,46.33,306.58,,,,
1/10/2022 9:00,-1.397,450.95,43.02,339.63,,,,
1/10/2022 10:00,-0.599,422.05,40.33,334.38,,,,
1/10/2022 11:00,0.023,403.71,38.63,325.64,,,,
1/10/2022 12:00,0.412,375.29,35.97,285.42,,,,
1/10/2022 13:00,0.58,362.43,34.80,219.13,,,,
1/10/2022 14:00,0.469,353.88,34.04,222.98,,,,
1/10/2022 15:00,-0.217,353.72,34.10,236.27,,,,
1/10/2022 16:00,-1.343,347.70,33.63,187.65,,,,
1/10/2022 17:00,-1.789,349.12,33.95,113.33,,,,
1/10/2022 18:00,-1.986,338.28,33.10,63.48,,,,
1/10/2022 19:00,-2.181,332.47,32.76,38.65,,,,
1/10/2022 20:00,-2.375,315.53,31.33,27.81,,,,
1/10/2022 21:00,-2.479,290.11,29.05,24.13,,,,
1/10/2022 22:00,-2.475,261.13,26.38,20.64,,,,
1/10/2022 23:00,-2.46,240.47,24.51,18.89,,,,
1/11/2022 0:00,-2.463,239.63,24.66,18.19,,,,
1/11/2022 1:00,-2.439,248.27,25.80,18.19,,,,
1/11/2022 2:00,-2.407,252.19,26.46,18.71,,,,
1/11/2022 3:00,-2.342,266.94,28.29,17.84,,,,
1/11/2022 4:00,-2.207,277.73,29.72,17.14,,,,
1/11/2022 5:00,-2.05,345.08,37.29,19.24,,,,
1/11/2022 6:00,-1.848,397.31,43.35,23.78,,,,
1/11/2022 7:00,-1.584,414.24,45.63,144.28,,,,
1/11/2022 8:00,-1.249,418.27,46.49,306.58,,,,
1/11/2022 9:00,-0.512,388.56,43.56,339.63,,,,
1/11/2022 10:00,0.362,364.40,41.14,334.38,,,,
1/11/2022 11:00,0.999,342.70,38.93,325.64,,,,
1/11/2022 12:00,1.415,325.65,37.19,285.42,,,,
1/11/2022 13:00,1.652,315.37,36.20,219.13,,,,
1/11/2022 14:00,1.792,308.86,35.63,222.98,,,,
1/11/2022 15:00,1.824,309.70,35.89,236.27,,,,
1/11/2022 16:00,1.751,311.24,36.22,187.65,,,,
1/11/2022 17:00,1.824,306.23,35.79,113.33,,,,
1/11/2022 18:00,1.931,297.62,34.92,63.48,,,,
1/11/2022 19:00,2.02,289.75,34.12,38.65,,,,
1/11/2022 20:00,2.065,284.75,33.64,27.81,,,,
1/11/2022 21:00,2.139,264.84,31.40,24.13,,,,
1/11/2022 22:00,2.209,230.95,27.48,20.64,,,,
1/11/2022 23:00,2.239,209.34,24.99,18.89,,,,
1/12/2022 0:00,2.2,202.78,24.30,18.19,,,,
1/12/2022 1:00,2.138,212.56,25.56,18.19,,,,
1/12/2022 2:00,2.079,218.85,26.42,18.71,,,,
1/12/2022 3:00,2.064,227.10,27.54,17.84,,,,
1/12/2022 4:00,2.086,246.02,29.97,17.14,,,,
1/12/2022 5:00,2.088,296.82,36.34,19.24,,,,
1/12/2022 6:00,2.112,355.17,43.70,23.78,,,,
1/12/2022 7:00,2.127,371.48,45.94,144.28,,,,
1/12/2022 8:00,2.143,360.14,44.77,306.58,,,,
1/12/2022 9:00,2.348,341.83,42.73,339.63,,,,
1/12/2022 10:00,2.724,324.46,40.78,334.38,,,,
1/12/2022 11:00,3.095,304.74,38.50,325.64,,,,
1/12/2022 12:00,3.373,287.84,36.55,285.42,,,,
1/12/2022 13:00,3.513,278.28,35.50,219.13,,,,
1/12/2022 14:00,3.501,272.75,34.97,222.98,,,,
1/12/2022 15:00,3.405,273.86,35.30,236.27,,,,
1/12/2022 16:00,3.288,276.40,35.84,187.65,,,,
1/12/2022 17:00,3.241,273.93,35.78,113.33,,,,
1/12/2022 18:00,3.239,270.39,35.59,63.48,,,,
1/12/2022 19:00,3.264,267.09,35.44,38.65,,,,
1/12/2022 20:00,3.333,261.41,34.96,27.81,,,,
1/12/2022 21:00,3.394,247.43,33.34,24.13,,,,
1/12/2022 22:00,3.429,219.03,29.71,20.64,,,,
1/12/2022 23:00,3.471,197.16,26.89,18.89,,,,
1/13/2022 0:00,3.497,196.99,26.97,17.66,,,,
1/13/2022 1:00,3.536,193.57,26.58,18.01,,,,
1/13/2022 2:00,3.579,204.59,28.13,17.84,,,,
1/13/2022 3:00,3.65,219.69,30.21,17.14,,,,
1/13/2022 4:00,3.723,242.14,33.25,16.96,,,,
1/13/2022 5:00,3.777,297.23,40.69,18.71,,,,
1/13/2022 6:00,3.809,361.87,49.35,19.94,,,,
1/13/2022 7:00,3.871,362.82,49.24,20.81,,,,
1/13/2022 8:00,3.966,355.81,48.00,27.98,,,,
1/13/2022 9:00,4.138,336.55,45.10,36.20,,,,
1/13/2022 10:00,4.396,325.61,43.36,40.75,,,,
1/13/2022 11:00,4.682,318.47,42.18,38.82,,,,
1/13/2022 12:00,4.911,295.97,39.00,34.80,,,,
1/13/2022 13:00,5.045,280.60,36.78,27.98,,,,
1/13/2022 14:00,5.156,261.35,34.06,23.78,,,,
1/13/2022 15:00,5.325,268.50,34.76,23.78,,,,
1/13/2022 16:00,5.495,277.79,35.64,22.91,,,,
1/13/2022 17:00,5.607,288.49,36.57,23.26,,,,
1/13/2022 18:00,5.636,301.30,37.67,23.78,,,,
1/13/2022 19:00,5.617,291.50,35.91,23.78,,,,
1/13/2022 20:00,5.527,298.14,36.17,22.39,,,,
1/13/2022 21:00,5.329,287.70,34.37,19.24,,,,
1/13/2022 22:00,5.009,265.13,31.18,19.24,,,,
1/13/2022 23:00,4.63,225.19,26.09,19.06,,,,
1/14/2022 0:00,4.293,248.53,28.40,17.66,,,,
1/14/2022 1:00,3.954,257.02,29.01,18.01,,,,
1/14/2022 2:00,3.598,253.22,28.26,17.84,,,,
1/14/2022 3:00,3.227,287.74,31.80,17.14,,,,
1/14/2022 4:00,2.901,348.38,38.18,16.96,,,,
1/14/2022 5:00,2.644,413.08,44.92,18.71,,,,
1/14/2022 6:00,2.389,365.43,39.47,20.11,,,,
1/14/2022 7:00,2.121,359.74,38.62,19.59,,,,
1/14/2022 8:00,1.986,353.18,37.73,20.64,,,,
1/14/2022 9:00,2.323,334.64,35.60,21.16,,,,
1/14/2022 10:00,2.777,317.62,33.68,20.99,,,,
1/14/2022 11:00,3.143,311.68,32.98,22.04,,,,
1/14/2022 12:00,3.319,294.00,31.07,21.86,,,,
1/14/2022 13:00,3.282,284.44,30.07,20.29,,,,
1/14/2022 14:00,3.043,290.14,30.71,20.64,,,,
1/14/2022 15:00,2.501,295.03,31.29,22.04,,,,
1/14/2022 16:00,1.688,289.12,30.76,22.39,,,,
1/14/2022 17:00,1.154,306.80,32.78,22.39,,,,
1/14/2022 18:00,0.752,308.77,33.15,24.31,,,,
1/14/2022 19:00,0.423,300.96,32.50,23.43,,,,
1/14/2022 20:00,0.087,299.64,32.57,22.39,,,,
1/14/2022 21:00,-0.255,290.08,31.76,20.64,,,,
1/14/2022 22:00,-0.461,256.33,28.29,19.59,,,,
1/14/2022 23:00,-0.554,231.97,25.82,19.06,,,,
1/15/2022 0:00,-0.554,228.36,25.63,18.19,,,,
1/15/2022 1:00,-0.497,238.42,26.98,18.19,,,,
1/15/2022 2:00,-0.382,243.33,27.75,18.71,,,,
1/15/2022 3:00,-0.362,258.05,29.64,17.84,,,,
1/15/2022 4:00,-0.343,273.60,31.65,17.14,,,,
1/15/2022 5:00,-0.29,336.33,39.15,19.24,,,,
1/15/2022 6:00,-0.235,387.93,45.43,23.78,,,,
1/15/2022 7:00,-0.083,408.24,48.07,144.28,,,,
1/15/2022 8:00,0.179,402.47,47.62,306.58,,,,
1/15/2022 9:00,0.885,381.78,45.37,339.63,,,,
1/15/2022 10:00,1.754,364.84,43.52,334.38,,,,
1/15/2022 11:00,2.611,344.17,41.20,325.64,,,,
1/15/2022 12:00,3.365,325.73,39.12,285.42,,,,
1/15/2022 13:00,3.84,320.81,38.63,219.13,,,,
1/15/2022 14:00,4.018,315.91,38.12,222.98,,,,
1/15/2022 15:00,3.912,317.80,38.40,236.27,,,,
1/15/2022 16:00,3.563,318.97,38.53,187.65,,,,
1/15/2022 17:00,3.35,325.44,39.23,113.33,,,,
1/15/2022 18:00,3.291,322.83,38.78,63.48,,,,
1/15/2022 19:00,3.225,316.40,37.87,38.65,,,,
1/15/2022 20:00,3.16,302.34,36.04,27.81,,,,
1/15/2022 21:00,3.093,288.22,34.22,24.13,,,,
1/15/2022 22:00,2.94,252.79,29.88,20.64,,,,
1/15/2022 23:00,2.825,229.44,27.02,18.89,,,,
1/16/2022 0:00,2.682,228.10,26.76,18.19,,,,
1/16/2022 1:00,2.519,241.22,28.21,18.19,,,,
1/16/2022 2:00,2.377,248.29,28.96,18.71,,,,
1/16/2022 3:00,2.22,266.08,30.97,17.84,,,,
1/16/2022 4:00,2.063,290.84,33.81,17.14,,,,
1/16/2022 5:00,1.92,350.95,40.78,19.24,,,,
1/16/2022 6:00,1.768,404.53,47.01,23.78,,,,
1/16/2022 7:00,1.646,424.76,49.41,144.28,,,,
1/16/2022 8:00,1.701,416.83,48.55,306.58,,,,
1/16/2022 9:00,2.234,399.79,46.63,339.63,,,,
1/16/2022 10:00,3.003,380.52,44.45,334.38,,,,
1/16/2022 11:00,3.763,359.69,42.08,325.64,,,,
1/16/2022 12:00,4.322,345.08,40.42,285.42,,,,
1/16/2022 13:00,4.551,337.53,39.55,219.13,,,,
1/16/2022 14:00,4.455,333.94,39.13,222.98,,,,
1/16/2022 15:00,3.869,338.36,39.61,236.27,,,,
1/16/2022 16:00,2.787,343.67,40.18,187.65,,,,
1/16/2022 17:00,2.181,341.82,39.94,113.33,,,,
1/16/2022 18:00,1.971,335.97,39.23,63.48,,,,
1/16/2022 19:00,1.83,330.92,38.60,38.65,,,,
1/16/2022 20:00,1.67,329.17,38.34,27.81,,,,
1/16/2022 21:00,1.57,309.99,36.03,24.13,,,,
1/16/2022 22:00,1.533,273.81,31.74,20.64,,,,
1/16/2022 23:00,1.509,251.44,29.06,18.89,,,,
1/17/2022 0:00,1.5,252.61,29.08,18.19,,,,
1/17/2022 1:00,1.549,269.00,30.81,18.19,,,,
1/17/2022 2:00,1.646,278.78,31.74,18.71,,,,
1/17/2022 3:00,1.733,300.74,33.97,17.84,,,,
1/17/2022 4:00,1.848,330.77,37.02,17.14,,,,
1/17/2022 5:00,2.008,401.37,44.45,19.24,,,,
1/17/2022 6:00,2.104,464.90,50.91,23.78,,,,
1/17/2022 7:00,2.103,490.10,53.04,144.28,,,,
1/17/2022 8:00,2.21,482.42,51.60,306.58,,,,
1/17/2022 9:00,2.838,463.67,49.02,339.63,,,,
1/17/2022 10:00,3.561,441.81,46.24,334.38,,,,
1/17/2022 11:00,4.163,417.75,43.33,325.64,,,,
1/17/2022 12:00,4.51,400.59,41.24,285.42,,,,
1/17/2022 13:00,4.501,391.39,40.04,219.13,,,,
1/17/2022 14:00,4.137,386.60,39.32,222.98,,,,
1/17/2022 15:00,3.427,390.90,39.55,236.27,,,,
1/17/2022 16:00,2.492,396.08,39.84,187.65,,,,
1/17/2022 17:00,1.976,392.86,39.23,113.33,,,,
1/17/2022 18:00,1.615,384.86,38.14,63.48,,,,
1/17/2022 19:00,1.261,377.66,37.16,38.65,,,,
1/17/2022 20:00,0.911,374.08,36.56,27.81,,,,
1/17/2022 21:00,0.597,350.66,34.05,24.13,,,,
1/17/2022 22:00,0.311,308.20,29.74,20.64,,,,
1/17/2022 23:00,0.021,281.54,27.02,18.89,,,,
1/18/2022 0:00,-0.342,286.85,27.38,18.19,,,,
1/18/2022 1:00,-0.801,303.74,28.85,18.19,,,,
1/18/2022 2:00,-1.388,311.07,29.41,18.71,,,,
1/18/2022 3:00,-1.944,331.85,31.26,17.84,,,,
1/18/2022 4:00,-2.38,347.86,32.66,17.14,,,,
1/18/2022 5:00,-2.677,435.34,40.76,19.24,,,,
1/18/2022 6:00,-2.891,504.71,47.14,23.78,,,,
1/18/2022 7:00,-3.079,529.74,49.37,144.28,,,,
1/18/2022 8:00,-3.036,538.34,50.06,306.58,,,,
1/18/2022 9:00,-1.852,503.22,46.71,339.63,,,,
1/18/2022 10:00,-0.614,474.80,44.00,334.38,,,,
1/18/2022 11:00,0.54,457.96,42.38,325.64,,,,
1/18/2022 12:00,1.315,429.37,39.70,285.42,,,,
1/18/2022 13:00,1.635,418.28,38.66,219.13,,,,
1/18/2022 14:00,1.496,412.06,38.06,222.98,,,,
1/18/2022 15:00,0.398,415.64,38.36,236.27,,,,
1/18/2022 16:00,-1.397,420.20,38.73,187.65,,,,
1/18/2022 17:00,-2.064,417.88,38.44,113.33,,,,
1/18/2022 18:00,-2.355,408.63,37.52,63.48,,,,
1/18/2022 19:00,-2.606,405.24,37.13,38.65,,,,
1/18/2022 20:00,-2.797,387.99,35.48,27.81,,,,
1/18/2022 21:00,-2.959,359.80,32.84,24.13,,,,
1/18/2022 22:00,-3.094,326.57,29.75,20.64,,,,
1/18/2022 23:00,-3.258,303.16,27.56,18.89,,,,
1/19/2022 0:00,-3.453,293.70,26.65,18.19,,,,
1/19/2022 1:00,-3.652,299.84,27.15,18.19,,,,
1/19/2022 2:00,-3.833,309.87,28.01,18.71,,,,
1/19/2022 3:00,-4.017,325.76,29.39,17.84,,,,
1/19/2022 4:00,-4.171,340.69,30.69,17.14,,,,
1/19/2022 5:00,-4.319,425.01,38.23,19.24,,,,
1/19/2022 6:00,-4.437,514.35,46.21,23.78,,,,
1/19/2022 7:00,-4.534,536.32,48.12,144.28,,,,
1/19/2022 8:00,-4.263,545.59,48.90,306.58,,,,
1/19/2022 9:00,-2.998,512.73,45.90,339.63,,,,
1/19/2022 10:00,-1.499,484.74,43.35,334.38,,,,
1/19/2022 11:00,-0.046,466.52,41.67,325.64,,,,
