FKZ;modulzuordnung_ptj_1;modulzuordnung_ptj_2;modulzuordnung_ptj_3;modulzuordnung_ptj_4
03EN1012E;M2;;;
03EN1012C;M2;;;
03EN1012D;M2;;;
03EN1012B;M2;;;
03EN1006C;M2;;;
03EN1006B;M2;;;
03EN1006D;M2;;;
03EN1006A;M2;;;
03EN1006E;M2;;;
03EN1008A;M2;;;
03EN1008B;M2;;;
03EN1008C;M2;;;
03ETW019B;M2;;;
03ETW019A;M2;;;
03EN3003E;M3;;;
03EN3003D;M3;;;
03EN3003B;M3;;;
03EN3003A;M3;;;
03EN3003C;M3;;;
03EN3005B;M3;;;
03EN3005A;M3;;;
03ETW013I;M2;;;
03ETW013B;M2;;;
03ETW013C;M2;;;
03ETW013D;M2;;;
03ETW013A;M2;;;
03ETW013F;M2;;;
03ETW013G;M2;;;
03ET1667B;M2;;;
03ET1667A;M2;;;
03EN1004B;M2;;;
03EN1004A;M2;;;
03ET1633D;M3;;;
03ET1633C;M3;;;
03ET1633A;M3;;;
03EN3004B;M3;;;
03EN3004A;M3;;;
03EN1001C;M2;;;
03EN1001A;M2;;;
03EN1001B;M2;;;
03ET1665E;M2;;;
03ET1665B;M2;;;
03ET1665C;M2;;;
03ET1665F;M2;;;
03ET1665D;M2;;;
03ET1665A;M2;;;
03ETW014D;M1;;;
03ET1641A;M3;;;
03ET1641B;M3;;;
03ET1501B;M3;;;
03ET1501A;M3;;;
03EN3002B;M3;;;
03EN3002A;M3;;;
03SBE115K;M3;;;
03SBE115L;M3;;;
03ETW007E;M2;;;
03ETW007C;M2;;;
03ETW007B;M2;;;
03ETW007A;M2;;;
03ETW001B;M2;;;
03ETW001C;M2;;;
03ETW001A;M2;;;
03ETW001D;M2;;;
03EN1005B;M2;;;
03EN1005A;M2;;;
03ETW014C;M1;;;
03ETW014B;M1;;;
03ETW014A;M1;;;
03EN3001;M3;;;
03EGB0020B;M2;;;
03EGB0020C;M2;;;
03EGB0020A;M2;;;
03ET1656;M3;;;
03EGB0017A;M2;;;
03EGB0017B;M2;;;
03EGB0017C;M2;;;
03ET1655B;M2;;;
03ET1655A;M2;;;
03ET1634E;M3;;;
03ET1634D;M3;;;
03ET1634C;M3;;;
03ET1634A;M3;;;
03ET1634B;M3;;;
03ETW015C;M2;;;
03ETW015B;M2;;;
03ETW015A;M2;;;
03ETW010;M2;;;
03ET1636B;M2;;;
03ET1636A;M2;;;
03EGB0018E;M2;;;
03EGB0018F;M2;;;
03EGB0018B;M2;;;
03EGB0018A;M2;;;
03EGB0018C;M2;;;
03EGB0018D;M2;;;
03EGB0018G;M2;;;
03EIV135E;M3;;;
03EIV135C;M3;;;
03EIV135B;M3;;;
03EIV135A;M3;;;
03EIV135D;M3;;;
03ET1638;M3;;;
03ET1585A;M3;;;
03ET1585B;M3;;;
03ET1585C;M3;;;
03ET1635B;M3;;;
03ET1635A;M3;;;
03ET1635C;M3;;;
03ET1632C;M3;;;
03ET1632A;M3;;;
03ET1632B;M3;;;
03ET1619C;M3;;;
03ET1619B;M3;;;
03ET1619A;M3;;;
03ET1647A;M2;;;
03ET1647C;M2;;;
03ET1647D;M2;;;
03ET1647B;M2;;;
03ET1623A;M2;;;
03ET1623C;M2;;;
03ET1623B;M2;;;
03ETW009A;M4;;;
03ETW009B;M4;;;
03ETW012D;M2;;;
03ETW012B;M2;;;
03ETW012C;M2;;;
03ETW012A;M2;;;
03ETW011C;M2;;;
03ETW011B;M2;;;
03ETW008;M2;;;
03ET1612D;M2;;;
03ET1607E;M3;;;
03ET1607D;M3;;;
03ET1607B;M3;;;
03ET1607C;M3;;;
03ET1607A;M3;;;
03ET1618E;M3;;;
03ET1618B;M3;;;
03ET1618G;M3;;;
03ET1618D;M3;;;
03ET1618F;M3;;;
03ET1618A;M3;;;
03ET1618C;M3;;;
03ET1626A;M3;;;
03ET1626B;M3;;;
03ET1616B;M2;;;
03ET1616A;M2;;;
03ET1606B;M2;;;
03ET1606A;M2;;;
03ET1606C;M2;;;
03ET1606D;M2;;;
03ET1612E;M2;;;
03ET1612A;M2;;;
03ET1612B;M2;;;
03ET1612F;M2;;;
03ET1612C;M2;;;
03ET1597B;M3;;;
03ET1597C;M3;;;
03ET1597A;M3;;;
03ET1625A;M3;;;
03ET1625B;M3;;;
03ET1625C;M3;;;
03ET1617D;M2;;;
03ET1617B;M2;;;
03ET1617E;M2;;;
03ET1617A;M2;;;
03ET1617C;M2;;;
03ETW005C;M2;;;
03ET1615;M2;;;
03ET1593F;M3;;;
03ET1593C;M3;;;
03ET1593E;M3;;;
03ET1593D;M3;;;
03ET1593B;M3;;;
03ET1593A;M3;;;
03ET1565B;M2;;;
03ET1565G;M2;;;
03ET1565I;M2;;;
03ET1565F;M2;;;
03ET1565E;M2;;;
03ET1565D;M2;;;
03ET1565A;M2;;;
03ET1565C;M2;;;
03ET1565H;M2;;;
03ET1610;M2;;;
03ET1604;M2;;;
03ET1600A;M2;;;
03ET1600B;M2;;;
03ET1596A;M2;;;
03ET1596B;M2;;;
03ET1584A;M2;;;
03ET1584B;M2;;;
03ETW003;M1;;;
03ET1590B;M3;;;
03ET1590A;M3;;;
03ET1590C;M3;;;
03ET1598;M3;;;
03ET1592B;M3;;;
03ET1592C;M3;;;
03ET1592A;M3;;;
03ET1537E;M2;;;
03ET1537B;M2;;;
03ET1537A;M2;;;
03ET1537C;M2;;;
03ET1537D;M2;;;
03ET1583;M3;;;
03EGB0012B;M2;;;
03EGB0012A;M2;;;
03EGB0012D;M2;;;
03EGB0012C;M2;;;
03ET1563D;M2;;;
03ET1563C;M2;;;
03ET1563A;M2;;;
03ET1563B;M2;;;
03EIV045A;M3;;;
03EIV045B;M3;;;
03EIV045C;M3;;;
03EIV045D;M3;;;
03EIV045E;M3;;;
03EIV045F;M3;;;
03ET1580A;M3;;;
03ET1580B;M3;;;
03ET1580C;M3;;;
03ET1564A;ag;;;
03ET1362E;M3;;;
03ETS005B;M3;;;
03ETS005A;M3;;;
03ET1549C;M3;;;
03ET1549B;M3;;;
03ET1549A;M3;;;
03ET1549D;M3;;;
03ET1568;M2;;;
03ET1530B;M2;;;
03ET1530A;M2;;;
03ET1530C;M2;;;
03ETS004;M2;;;
03EGB0011A;M2;;;
03SBE116I;M3;;;
03SBE116M;M3;;;
03SBE116N;M3;;;
03SBE116Q;M3;;;
03SBE116K;M3;;;
03ET1545C;M3;;;
03ET1545B;M3;;;
03ET1545A;M3;;;
03ET1545D;M3;;;
03SBE111R;M3;;;
03SBE111V;M3;;;
03SBE111N;M3;;;
03SBE111G;M3;;;
03SBE111K;M3;;;
03SBE111B;M3;;;
03SBE111I;M3;;;
03SBE111U;M3;;;
03SBE114L;M3;;;
03SBE115I;M3;;;
